<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RIU2 [SPBFUT],Daily,20211119,000000,170250.000000,170250.000000,165890.000000,166320.000000,8.000000
RIU2 [SPBFUT],Daily,20211122,000000,164340.000000,164340.000000,157280.000000,159040.000000,14.000000
RIU2 [SPBFUT],Daily,20211123,000000,161280.000000,164010.000000,160000.000000,164010.000000,12.000000
RIU2 [SPBFUT],Daily,20211124,000000,164570.000000,165800.000000,160850.000000,162290.000000,17.000000
RIU2 [SPBFUT],Daily,20211125,000000,162610.000000,162610.000000,162610.000000,162610.000000,1.000000
RIU2 [SPBFUT],Daily,20211126,000000,158080.000000,158290.000000,155000.000000,155330.000000,30.000000
RIU2 [SPBFUT],Daily,20211129,000000,157990.000000,160870.000000,157990.000000,159300.000000,12.000000
RIU2 [SPBFUT],Daily,20211130,000000,157620.000000,158930.000000,157620.000000,158050.000000,5.000000
RIU2 [SPBFUT],Daily,20211201,000000,162220.000000,164000.000000,162220.000000,164000.000000,8.000000
RIU2 [SPBFUT],Daily,20211203,000000,165190.000000,165190.000000,161910.000000,161910.000000,2.000000
RIU2 [SPBFUT],Daily,20211206,000000,163400.000000,163400.000000,158650.000000,158650.000000,6.000000
RIU2 [SPBFUT],Daily,20211207,000000,160300.000000,160960.000000,160300.000000,160960.000000,2.000000
RIU2 [SPBFUT],Daily,20211208,000000,161320.000000,161930.000000,157830.000000,157830.000000,11.000000
RIU2 [SPBFUT],Daily,20211209,000000,157410.000000,159130.000000,157410.000000,157980.000000,6.000000
RIU2 [SPBFUT],Daily,20211210,000000,158340.000000,158340.000000,156350.000000,157290.000000,9.000000
RIU2 [SPBFUT],Daily,20211213,000000,156370.000000,156370.000000,148720.000000,148720.000000,106.000000
RIU2 [SPBFUT],Daily,20211214,000000,147060.000000,149500.000000,145800.000000,148380.000000,952.000000
RIU2 [SPBFUT],Daily,20211215,000000,151230.000000,151230.000000,148080.000000,149500.000000,291.000000
RIU2 [SPBFUT],Daily,20211216,000000,151520.000000,154620.000000,151330.000000,153500.000000,32.000000
RIU2 [SPBFUT],Daily,20211217,000000,152850.000000,152990.000000,151540.000000,152310.000000,298.000000
RIU2 [SPBFUT],Daily,20211220,000000,149760.000000,150170.000000,148530.000000,149380.000000,22.000000
RIU2 [SPBFUT],Daily,20211221,000000,152330.000000,152330.000000,150970.000000,151170.000000,18.000000
RIU2 [SPBFUT],Daily,20211222,000000,152820.000000,154260.000000,152140.000000,152140.000000,14.000000
RIU2 [SPBFUT],Daily,20211223,000000,154300.000000,154300.000000,152670.000000,153310.000000,22.000000
