<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RIH2 [SPBFUT],Daily,20210914,000000,171150.000000,172150.000000,170780.000000,171010.000000,303.000000
RIH2 [SPBFUT],Daily,20210915,000000,171470.000000,173780.000000,171220.000000,173690.000000,270.000000
RIH2 [SPBFUT],Daily,20210916,000000,173550.000000,173560.000000,171250.000000,171700.000000,1023.000000
RIH2 [SPBFUT],Daily,20210917,000000,171550.000000,172270.000000,170170.000000,170430.000000,1553.000000
RIH2 [SPBFUT],Daily,20210920,000000,170160.000000,170160.000000,166100.000000,166610.000000,2742.000000
RIH2 [SPBFUT],Daily,20210921,000000,167410.000000,169090.000000,167410.000000,168310.000000,1123.000000
RIH2 [SPBFUT],Daily,20210922,000000,169000.000000,172090.000000,168980.000000,170970.000000,2049.000000
RIH2 [SPBFUT],Daily,20210923,000000,171420.000000,172630.000000,170890.000000,172200.000000,1417.000000
RIH2 [SPBFUT],Daily,20210924,000000,172350.000000,172830.000000,170370.000000,172260.000000,1084.000000
RIH2 [SPBFUT],Daily,20210927,000000,172770.000000,174600.000000,172770.000000,174570.000000,1606.000000
RIH2 [SPBFUT],Daily,20210928,000000,174980.000000,175660.000000,172110.000000,172330.000000,1287.000000
RIH2 [SPBFUT],Daily,20210929,000000,173020.000000,173680.000000,171780.000000,173010.000000,1169.000000
RIH2 [SPBFUT],Daily,20210930,000000,173190.000000,174870.000000,172790.000000,174300.000000,1322.000000
RIH2 [SPBFUT],Daily,20211001,000000,173960.000000,174790.000000,172490.000000,174700.000000,1730.000000
RIH2 [SPBFUT],Daily,20211004,000000,174140.000000,176130.000000,173790.000000,175960.000000,1507.000000
RIH2 [SPBFUT],Daily,20211005,000000,176100.000000,181300.000000,175900.000000,181300.000000,2693.000000
RIH2 [SPBFUT],Daily,20211006,000000,181020.000000,182260.000000,177810.000000,179800.000000,4346.000000
RIH2 [SPBFUT],Daily,20211007,000000,180030.000000,182760.000000,178730.000000,182390.000000,3274.000000
RIH2 [SPBFUT],Daily,20211008,000000,182590.000000,183740.000000,181800.000000,182940.000000,1416.000000
RIH2 [SPBFUT],Daily,20211011,000000,183110.000000,185580.000000,183110.000000,184770.000000,1510.000000
RIH2 [SPBFUT],Daily,20211012,000000,184510.000000,184860.000000,183340.000000,183450.000000,1190.000000
RIH2 [SPBFUT],Daily,20211013,000000,183450.000000,184180.000000,181370.000000,184180.000000,2912.000000
RIH2 [SPBFUT],Daily,20211014,000000,184280.000000,186620.000000,184280.000000,185760.000000,2413.000000
RIH2 [SPBFUT],Daily,20211015,000000,186100.000000,187070.000000,185570.000000,186990.000000,1370.000000
RIH2 [SPBFUT],Daily,20211018,000000,187200.000000,187880.000000,184670.000000,185420.000000,1982.000000
RIH2 [SPBFUT],Daily,20211019,000000,185590.000000,188580.000000,185590.000000,188580.000000,1645.000000
RIH2 [SPBFUT],Daily,20211020,000000,188390.000000,188930.000000,186730.000000,188530.000000,1893.000000
RIH2 [SPBFUT],Daily,20211021,000000,188310.000000,188400.000000,184350.000000,185160.000000,2530.000000
RIH2 [SPBFUT],Daily,20211022,000000,184970.000000,187910.000000,184490.000000,185830.000000,2014.000000
RIH2 [SPBFUT],Daily,20211025,000000,186230.000000,189870.000000,185790.000000,189870.000000,2487.000000
RIH2 [SPBFUT],Daily,20211026,000000,190000.000000,191000.000000,188920.000000,189250.000000,2149.000000
RIH2 [SPBFUT],Daily,20211027,000000,189050.000000,189270.000000,185700.000000,185940.000000,1991.000000
RIH2 [SPBFUT],Daily,20211028,000000,185750.000000,186720.000000,183750.000000,185990.000000,2436.000000
RIH2 [SPBFUT],Daily,20211029,000000,185870.000000,186220.000000,181070.000000,182400.000000,3059.000000
RIH2 [SPBFUT],Daily,20211101,000000,182390.000000,185050.000000,181820.000000,184350.000000,2218.000000
RIH2 [SPBFUT],Daily,20211102,000000,184020.000000,185130.000000,181760.000000,183010.000000,3043.000000
RIH2 [SPBFUT],Daily,20211103,000000,182700.000000,182700.000000,180040.000000,182150.000000,2731.000000
RIH2 [SPBFUT],Daily,20211105,000000,182290.000000,183200.000000,180450.000000,182700.000000,2406.000000
RIH2 [SPBFUT],Daily,20211108,000000,183000.000000,184460.000000,182800.000000,183700.000000,1789.000000
RIH2 [SPBFUT],Daily,20211109,000000,183500.000000,185560.000000,182850.000000,184300.000000,1852.000000
RIH2 [SPBFUT],Daily,20211110,000000,184040.000000,184910.000000,180010.000000,180100.000000,3103.000000
RIH2 [SPBFUT],Daily,20211111,000000,180500.000000,183590.000000,180450.000000,181810.000000,2580.000000
RIH2 [SPBFUT],Daily,20211112,000000,181650.000000,181950.000000,175800.000000,176090.000000,4703.000000
RIH2 [SPBFUT],Daily,20211115,000000,176880.000000,179310.000000,176090.000000,177240.000000,3043.000000
RIH2 [SPBFUT],Daily,20211116,000000,177440.000000,178490.000000,174250.000000,175000.000000,4241.000000
RIH2 [SPBFUT],Daily,20211117,000000,174940.000000,177940.000000,174400.000000,176950.000000,3635.000000
RIH2 [SPBFUT],Daily,20211118,000000,176600.000000,177520.000000,173850.000000,174540.000000,3610.000000
RIH2 [SPBFUT],Daily,20211119,000000,175000.000000,176440.000000,169400.000000,170250.000000,6616.000000
RIH2 [SPBFUT],Daily,20211122,000000,170500.000000,171310.000000,159470.000000,160730.000000,13572.000000
RIH2 [SPBFUT],Daily,20211123,000000,160330.000000,167180.000000,156660.000000,167040.000000,14289.000000
RIH2 [SPBFUT],Daily,20211124,000000,166730.000000,168130.000000,162950.000000,164170.000000,13385.000000
RIH2 [SPBFUT],Daily,20211125,000000,164500.000000,166550.000000,163850.000000,164170.000000,5583.000000
RIH2 [SPBFUT],Daily,20211126,000000,164150.000000,164150.000000,156120.000000,156350.000000,13510.000000
RIH2 [SPBFUT],Daily,20211129,000000,156500.000000,164470.000000,156500.000000,162450.000000,15040.000000
RIH2 [SPBFUT],Daily,20211130,000000,162520.000000,163310.000000,158710.000000,162120.000000,15500.000000
RIH2 [SPBFUT],Daily,20211201,000000,162370.000000,167460.000000,162370.000000,164220.000000,12029.000000
RIH2 [SPBFUT],Daily,20211202,000000,164500.000000,167650.000000,164370.000000,167420.000000,13280.000000
RIH2 [SPBFUT],Daily,20211203,000000,167400.000000,168100.000000,163550.000000,164620.000000,11417.000000
RIH2 [SPBFUT],Daily,20211206,000000,164950.000000,166860.000000,160030.000000,160900.000000,34493.000000
RIH2 [SPBFUT],Daily,20211207,000000,161010.000000,163940.000000,160080.000000,162950.000000,42679.000000
RIH2 [SPBFUT],Daily,20211208,000000,163010.000000,165210.000000,159590.000000,161160.000000,41609.000000
RIH2 [SPBFUT],Daily,20211209,000000,161180.000000,162850.000000,159840.000000,161070.000000,36767.000000
RIH2 [SPBFUT],Daily,20211210,000000,161070.000000,161740.000000,159000.000000,160000.000000,39499.000000
RIH2 [SPBFUT],Daily,20211213,000000,160150.000000,161370.000000,152010.000000,152030.000000,172270.000000
RIH2 [SPBFUT],Daily,20211214,000000,152030.000000,154570.000000,148460.000000,153740.000000,275327.000000
RIH2 [SPBFUT],Daily,20211215,000000,153640.000000,155760.000000,152250.000000,155540.000000,317365.000000
RIH2 [SPBFUT],Daily,20211216,000000,155550.000000,159820.000000,155550.000000,157910.000000,711907.000000
RIH2 [SPBFUT],Daily,20211217,000000,157900.000000,158160.000000,156260.000000,157680.000000,622667.000000
RIH2 [SPBFUT],Daily,20211220,000000,157620.000000,157620.000000,153420.000000,155500.000000,634444.000000
RIH2 [SPBFUT],Daily,20211221,000000,155500.000000,157850.000000,155370.000000,157350.000000,588633.000000
RIH2 [SPBFUT],Daily,20211222,000000,157350.000000,160150.000000,156630.000000,158670.000000,517043.000000
RIH2 [SPBFUT],Daily,20211223,000000,158680.000000,160370.000000,157530.000000,158180.000000,548558.000000
RIH2 [SPBFUT],Daily,20211224,000000,158030.000000,158880.000000,156130.000000,157470.000000,325407.000000
RIH2 [SPBFUT],Daily,20211227,000000,157890.000000,160500.000000,157890.000000,160490.000000,394134.000000
RIH2 [SPBFUT],Daily,20211228,000000,160490.000000,161900.000000,160030.000000,160110.000000,428401.000000
RIH2 [SPBFUT],Daily,20211229,000000,160100.000000,160960.000000,158230.000000,159390.000000,478080.000000
RIH2 [SPBFUT],Daily,20211230,000000,159440.000000,160080.000000,157830.000000,159760.000000,349912.000000
RIH2 [SPBFUT],Daily,20220103,000000,159950.000000,163840.000000,159200.000000,163110.000000,395977.000000
RIH2 [SPBFUT],Daily,20220104,000000,163110.000000,163860.000000,161110.000000,161350.000000,494281.000000
RIH2 [SPBFUT],Daily,20220105,000000,161350.000000,161350.000000,151620.000000,152000.000000,727481.000000
RIH2 [SPBFUT],Daily,20220106,000000,151620.000000,155840.000000,150270.000000,155240.000000,804537.000000
RIH2 [SPBFUT],Daily,20220107,000000,155310.000000,158320.000000,154320.000000,157500.000000,300983.000000
RIH2 [SPBFUT],Daily,20220110,000000,157600.000000,159470.000000,155520.000000,157760.000000,643298.000000
RIH2 [SPBFUT],Daily,20220111,000000,157800.000000,161130.000000,157280.000000,160320.000000,604572.000000
RIH2 [SPBFUT],Daily,20220112,000000,160500.000000,162180.000000,159400.000000,161710.000000,622101.000000
RIH2 [SPBFUT],Daily,20220113,000000,161690.000000,161690.000000,151100.000000,152750.000000,1187521.000000
